"Date","Price","Open","High","Low","Vol.","Change %"
"11/11/2007","0.9736","0.9456","0.9889","0.9433","","3.21%"
"11/04/2007","0.9433","0.9355","0.9444","0.9059","","0.96%"
"10/28/2007","0.9343","0.9611","0.9630","0.9326","","-2.83%"
"10/21/2007","0.9615","0.9667","0.9827","0.9590","","-0.50%"
"10/14/2007","0.9663","0.9715","0.9823","0.9632","","-0.50%"
"10/07/2007","0.9712","0.9802","0.9898","0.9711","","-0.97%"
"09/30/2007","0.9807","0.9930","1.0017","0.9787","","-1.09%"
"09/23/2007","0.9915","0.9998","1.0097","0.9912","","-0.97%"
"09/16/2007","1.0012","1.0303","1.0314","0.9937","","-2.86%"
"09/09/2007","1.0307","1.0546","1.0593","1.0277","","-2.37%"
"09/02/2007","1.0557","1.0556","1.0584","1.0476","","-0.01%"
"08/26/2007","1.0558","1.0520","1.0679","1.0470","","0.31%"
"08/19/2007","1.0525","1.0612","1.0667","1.0473","","-0.75%"
"08/12/2007","1.0604","1.0541","1.0868","1.0486","","0.68%"
"08/05/2007","1.0532","1.0564","1.0644","1.0461","","-0.38%"
"07/29/2007","1.0572","1.0644","1.0701","1.0501","","-0.66%"
"07/22/2007","1.0642","1.0484","1.0652","1.0339","","1.48%"
"07/15/2007","1.0487","1.0484","1.0500","1.0400","","0.15%"
"07/08/2007","1.0471","1.0491","1.0614","1.0444","","-0.22%"
"07/01/2007","1.0494","1.0634","1.0639","1.0463","","-1.49%"
"06/24/2007","1.0653","1.0690","1.0736","1.0474","","-0.41%"
"06/17/2007","1.0697","1.0681","1.0762","1.0615","","0.17%"
"06/10/2007","1.0679","1.0616","1.0742","1.0591","","0.62%"
"06/03/2007","1.0613","1.0615","1.0716","1.0550","","0.05%"
"05/27/2007","1.0608","1.0796","1.0838","1.0598","","-1.85%"
"05/20/2007","1.0808","1.0896","1.0901","1.0776","","-0.70%"
"05/13/2007","1.0884","1.1105","1.1126","1.0875","","-2.00%"
"05/06/2007","1.1106","1.1070","1.1171","1.1006","","0.30%"
"04/29/2007","1.1073","1.1158","1.1198","1.1031","","-0.87%"
"04/22/2007","1.1170","1.1227","1.1250","1.1130","","-0.64%"
"04/15/2007","1.1242","1.1366","1.1372","1.1214","","-1.24%"
"04/08/2007","1.1383","1.1509","1.1533","1.1326","","-1.15%"
"04/01/2007","1.1515","1.1521","1.1601","1.1486","","-0.15%"
"03/25/2007","1.1532","1.1604","1.1641","1.1498","","-0.65%"
"03/18/2007","1.1608","1.1774","1.1791","1.1528","","-1.28%"
"03/11/2007","1.1759","1.1729","1.1782","1.1677","","0.31%"
"03/04/2007","1.1723","1.1766","1.1827","1.1700","","-0.42%"
"02/25/2007","1.1772","1.1594","1.1775","1.1575","","1.59%"
"02/18/2007","1.1588","1.1641","1.1718","1.1560","","-0.34%"
"02/11/2007","1.1627","1.1733","1.1770","1.1618","","-0.79%"
"02/04/2007","1.1720","1.1836","1.1878","1.1711","","-1.09%"
"01/28/2007","1.1849","1.1792","1.1872","1.1732","","0.43%"
"01/21/2007","1.1798","1.1725","1.1854","1.1714","","0.69%"
"01/14/2007","1.1717","1.1692","1.1776","1.1644","","0.21%"
"01/07/2007","1.1693","1.1730","1.1804","1.1682","","-0.29%"
"12/31/2006","1.1727","1.1662","1.1789","1.1625","","0.63%"
"12/24/2006","1.1654","1.1576","1.1673","1.1572","","0.67%"
"12/17/2006","1.1576","1.1578","1.1591","1.1427","","0.00%"
"12/10/2006","1.1576","1.1490","1.1591","1.1454","","0.75%"
"12/03/2006","1.1490","1.1447","1.1520","1.1379","","0.37%"
"11/26/2006","1.1448","1.1321","1.1469","1.1286","","0.85%"
"11/19/2006","1.1351","1.1464","1.1498","1.1307","","-1.01%"
"11/12/2006","1.1467","1.1316","1.1477","1.1304","","1.33%"
"11/05/2006","1.1317","1.1298","1.1365","1.1252","","0.18%"
"10/29/2006","1.1297","1.1192","1.1375","1.1179","","0.93%"
"10/22/2006","1.1193","1.1252","1.1326","1.1175","","-0.52%"
"10/15/2006","1.1252","1.1372","1.1416","1.1199","","-1.09%"
"10/08/2006","1.1376","1.1265","1.1391","1.1212","","1.07%"
"10/01/2006","1.1256","1.1179","1.1311","1.1145","","0.66%"
"09/24/2006","1.1182","1.1175","1.1193","1.1084","","0.01%"
"09/17/2006","1.1181","1.1193","1.1298","1.1117","","-0.13%"
"09/10/2006","1.1195","1.1208","1.1238","1.1119","","-0.13%"
"09/03/2006","1.1210","1.1044","1.1212","1.1040","","1.56%"
"08/27/2006","1.1038","1.1089","1.1131","1.1033","","-0.50%"
"08/20/2006","1.1094","1.1256","1.1259","1.1045","","-1.38%"
"08/13/2006","1.1249","1.1260","1.1324","1.1144","","0.03%"
"08/06/2006","1.1246","1.1270","1.1285","1.1168","","-0.22%"
"07/30/2006","1.1271","1.1302","1.1374","1.1218","","-0.34%"
"07/23/2006","1.1309","1.1374","1.1460","1.1282","","-0.60%"
"07/16/2006","1.1377","1.1281","1.1407","1.1261","","0.90%"
"07/09/2006","1.1275","1.1142","1.1404","1.1134","","1.25%"
"07/02/2006","1.1136","1.1149","1.1191","1.1040","","-0.32%"
"06/25/2006","1.1172","1.1202","1.1271","1.1077","","-0.47%"
"06/18/2006","1.1225","1.1223","1.1292","1.1031","","0.03%"
"06/11/2006","1.1222","1.1066","1.1256","1.0960","","1.36%"
"06/04/2006","1.1071","1.1014","1.1248","1.0974","","0.54%"
"05/28/2006","1.1011","1.1044","1.1102","1.0927","","-0.54%"
"05/21/2006","1.1071","1.1204","1.1269","1.1046","","-1.05%"
"05/14/2006","1.1189","1.1092","1.1277","1.1012","","0.93%"
"05/07/2006","1.1086","1.1063","1.1168","1.0974","","0.31%"
"04/30/2006","1.1052","1.1176","1.1191","1.1012","","-1.06%"
"04/23/2006","1.1170","1.1355","1.1403","1.1159","","-1.85%"
"04/16/2006","1.1381","1.1516","1.1540","1.1347","","-1.16%"
"04/09/2006","1.1515","1.1492","1.1538","1.1426","","0.20%"
"04/02/2006","1.1492","1.1683","1.1774","1.1435","","-1.63%"
"03/26/2006","1.1683","1.1680","1.1752","1.1574","","-0.02%"
"03/19/2006","1.1685","1.1589","1.1724","1.1570","","0.92%"
"03/12/2006","1.1578","1.1601","1.1639","1.1509","","-0.29%"
"03/05/2006","1.1612","1.1342","1.1652","1.1332","","2.34%"
"02/26/2006","1.1347","1.1494","1.1511","1.1294","","-1.28%"
"02/19/2006","1.1494","1.1507","1.1557","1.1446","","-0.08%"
"02/12/2006","1.1503","1.1534","1.1617","1.1497","","-0.29%"
"02/05/2006","1.1536","1.1442","1.1564","1.1416","","0.70%"
"01/29/2006","1.1456","1.1488","1.1504","1.1370","","-0.33%"
"01/22/2006","1.1494","1.1530","1.1583","1.1450","","-0.29%"
"01/15/2006","1.1528","1.1591","1.1799","1.1517","","-0.64%"
"01/08/2006","1.1602","1.1659","1.1753","1.1563","","-0.45%"
"01/01/2006","1.1654","1.1652","1.1730","1.1450","","0.25%"
