"Date","Price","Open","High","Low","Vol.","Change %"
"07/23/2017","1.2432","1.2538","1.2576","1.2414","","-0.84%"
"07/16/2017","1.2537","1.2645","1.2703","1.2522","","-0.81%"
"07/09/2017","1.2640","1.2879","1.2945","1.2642","","-1.83%"
"07/02/2017","1.2876","1.2966","1.3016","1.2859","","-0.69%"
"06/25/2017","1.2965","1.3267","1.3274","1.2948","","-2.28%"
"06/18/2017","1.3267","1.3217","1.3349","1.3191","","0.42%"
"06/11/2017","1.3212","1.3458","1.3472","1.3165","","-1.92%"
"06/04/2017","1.3470","1.3493","1.3541","1.3422","","-0.09%"
"05/28/2017","1.3482","1.3447","1.3548","1.3426","","0.27%"
"05/21/2017","1.3446","1.3520","1.3542","1.3388","","-0.50%"
"05/14/2017","1.3514","1.3696","1.3723","1.3509","","-1.43%"
"05/07/2017","1.3710","1.3665","1.3772","1.3642","","0.42%"
"04/30/2017","1.3652","1.3655","1.3795","1.3636","","0.00%"
"04/23/2017","1.3652","1.3498","1.3699","1.3410","","1.13%"
"04/16/2017","1.3499","1.3323","1.3526","1.3262","","1.30%"
"04/09/2017","1.3326","1.3401","1.3428","1.3221","","-0.60%"
"04/02/2017","1.3406","1.3304","1.3457","1.3300","","0.70%"
"03/26/2017","1.3313","1.3377","1.3416","1.3277","","-0.49%"
"03/19/2017","1.3379","1.3345","1.3410","1.3264","","0.22%"
"03/12/2017","1.3350","1.3457","1.3496","1.3276","","-0.90%"
"03/05/2017","1.3471","1.3375","1.3536","1.3371","","0.70%"
"02/26/2017","1.3377","1.3104","1.3438","1.3083","","2.18%"
"02/19/2017","1.3091","1.3104","1.3210","1.3055","","-0.06%"
"02/12/2017","1.3099","1.3090","1.3127","1.3009","","0.14%"
"02/05/2017","1.3081","1.3026","1.3216","1.3008","","0.45%"
"01/29/2017","1.3023","1.3147","1.3170","1.2968","","-0.99%"
"01/22/2017","1.3153","1.3324","1.3337","1.3054","","-1.27%"
"01/15/2017","1.3322","1.3110","1.3388","1.3017","","1.59%"
"01/08/2017","1.3113","1.3237","1.3296","1.3030","","-0.93%"
"01/01/2017","1.3236","1.3438","1.3461","1.3175","","-1.47%"
"12/25/2016","1.3433","1.3531","1.3600","1.3401","","-0.76%"
"12/18/2016","1.3536","1.3340","1.3558","1.3317","","1.50%"
"12/11/2016","1.3336","1.3155","1.3421","1.3082","","1.19%"
"12/04/2016","1.3179","1.3297","1.3359","1.3152","","-0.87%"
"11/27/2016","1.3294","1.3520","1.3539","1.3253","","-1.74%"
"11/20/2016","1.3530","1.3500","1.3537","1.3376","","0.21%"
"11/13/2016","1.3501","1.3524","1.3590","1.3399","","-0.31%"
"11/06/2016","1.3543","1.3406","1.3551","1.3263","","1.04%"
"10/30/2016","1.3404","1.3395","1.3466","1.3351","","0.04%"
"10/23/2016","1.3398","1.3333","1.3433","1.3275","","0.49%"
"10/16/2016","1.3333","1.3139","1.3356","1.3004","","1.47%"
"10/09/2016","1.3140","1.3280","1.3308","1.3103","","-1.19%"
"10/02/2016","1.3298","1.3134","1.3314","1.3067","","1.29%"
"09/25/2016","1.3129","1.3167","1.3282","1.3046","","-0.30%"
"09/18/2016","1.3168","1.3209","1.3243","1.2997","","-0.31%"
"09/11/2016","1.3209","1.3044","1.3249","1.3027","","1.23%"
"09/04/2016","1.3048","1.2993","1.3054","1.2820","","0.38%"
"08/28/2016","1.2998","1.2996","1.3149","1.2973","","-0.04%"
"08/21/2016","1.3003","1.2870","1.3012","1.2830","","1.02%"
"08/14/2016","1.2872","1.2954","1.2976","1.2761","","-0.59%"
"08/07/2016","1.2948","1.3177","1.3191","1.2922","","-1.67%"
"07/31/2016","1.3168","1.3028","1.3202","1.2995","","1.06%"
"07/24/2016","1.3030","1.3140","1.3253","1.3000","","-0.73%"
"07/17/2016","1.3126","1.2947","1.3186","1.2925","","1.19%"
"07/10/2016","1.2971","1.3047","1.3140","1.2859","","-0.56%"
"07/03/2016","1.3044","1.2915","1.3091","1.2829","","0.98%"
"06/26/2016","1.2917","1.2978","1.3121","1.2861","","-0.68%"
"06/19/2016","1.3006","1.2892","1.3102","1.2679","","0.86%"
"06/12/2016","1.2895","1.2780","1.3088","1.2750","","0.86%"
"06/05/2016","1.2785","1.2938","1.2984","1.2653","","-1.15%"
"05/29/2016","1.2934","1.3016","1.3145","1.2913","","-0.65%"
"05/22/2016","1.3019","1.3113","1.3190","1.2909","","-0.72%"
"05/15/2016","1.3113","1.2925","1.3163","1.2836","","1.33%"
"05/08/2016","1.2941","1.2909","1.3015","1.2770","","0.25%"
"05/01/2016","1.2909","1.2550","1.2953","1.2460","","2.84%"
"04/24/2016","1.2553","1.2675","1.2718","1.2497","","-0.92%"
"04/17/2016","1.2670","1.2940","1.2992","1.2592","","-1.19%"
"04/10/2016","1.2822","1.2987","1.3017","1.2748","","-1.28%"
